topk_rate,review_volume,fraud_captured,precision_at_k,recall_at_k,baseline_fraud_rate,lift_vs_baseline,model_name,evaluation_split
0.01,227,78,0.3436123348017621,0.075,0.04588167821061455,7.48909691629956,logistic_regression,valid
0.03,680,169,0.2485294117647059,0.1625,0.04588167821061455,5.416746323529412,logistic_regression,valid
0.05,1133,270,0.2383053839364519,0.25961538461538464,0.04588167821061455,5.193911670853419,logistic_regression,valid
0.1,2267,333,0.14689016321129245,0.32019230769230766,0.04588167821061455,3.201499355298429,logistic_regression,valid
0.2,4533,415,0.0915508493271564,0.39903846153846156,0.04588167821061455,1.9953683670179367,logistic_regression,valid
0.01,227,67,0.29515418502202645,0.06479690522243714,0.045616976220937924,6.470270707828118,logistic_regression,test
0.03,680,181,0.2661764705882353,0.17504835589941972,0.045616976220937924,5.8350310046649225,logistic_regression,test
0.05,1133,269,0.23742277140335394,0.2601547388781431,0.045616976220937924,5.204702088394414,logistic_regression,test
0.1,2267,385,0.16982796647551832,0.3723404255319149,0.045616976220937924,3.7229115242752164,logistic_regression,test
0.2,4533,451,0.09949260975071697,0.43617021276595747,0.045616976220937924,2.181043506014992,logistic_regression,test
0.01,227,83,0.3656387665198238,0.0798076923076923,0.04588167821061455,7.969167231446968,xgboost,valid
0.03,680,186,0.2735294117647059,0.17884615384615385,0.04588167821061455,5.9616261312217205,xgboost,valid
0.05,1133,277,0.2444836716681377,0.26634615384615384,0.04588167821061455,5.3285686400977665,xgboost,valid
0.1,2267,335,0.14777238641376267,0.32211538461538464,0.04588167821061455,3.2207275796545756,xgboost,valid
0.2,4533,400,0.08824178248400617,0.38461538461538464,0.04588167821061455,1.9232466188124693,xgboost,valid
0.01,227,74,0.32599118942731276,0.07156673114119923,0.045616976220937924,7.146269139989264,xgboost,test
0.03,680,183,0.2691176470588235,0.1769825918762089,0.045616976220937924,5.899506485379452,xgboost,test
0.05,1133,272,0.24007060900264784,0.26305609284332687,0.045616976220937924,5.262747093097698,xgboost,test
0.1,2267,385,0.16982796647551832,0.3723404255319149,0.045616976220937924,3.7229115242752164,xgboost,test
0.2,4533,461,0.10169865431281712,0.4458413926499033,0.045616976220937924,2.2294036724454793,xgboost,test
